userName;score;at;content;;
Hafis Akbar;5;16/10/2024 13.46;Mantap;;
Yuli Ana;5;16/10/2024 13.43;The best;;
Hadry Toretto Hadry Toretto;5;16/10/2024 13.41;Top bgt;;
Reza Andika Nurdiansyah;1;16/10/2024 13.37;Update versi malah tambah busuk, liat reels sama foto yg muncul gambar blur sama cacing muter. Bukan krn koneksi ya, soalnya nonton Livestream di YouTube sama tiktok lancar jaya aman sentosa.;;
Gayustambunan Mateusyomaki;5;16/10/2024 13.35;Sangat bagus aplikasinya ini saya suka memakainya;;
Dheo Achmad Fauzi;1;16/10/2024 13.34;"ini Instagram kenapa si, internet lancar tapi muter"" trs ngeliat foto/vidio. mohon pihak Instagram di cek aplikasi nya, kayanya bermasalah";;
Nun Jariyah;1;16/10/2024 13.31;Pemboros paket data;;
Dippos Sinaga;5;16/10/2024 13.29;Sangat bagus;;
Sitait Ali;1;16/10/2024 13.25;Lambat slow lemot parah;;
Yehuda Wongso;1;16/10/2024 13.23;Penghinaan terhadap lagu kebangsaan suatu negara dianggap tidak melanggar pedoman.;;
L TV Project;1;16/10/2024 13.22;hal yg paling mengecewakan diinstagram sekarang adalah tidak bisa report akun dan postingan yg padahal akun dan postingan itu mengandung beberapa hal yg dituju! semakin tidak berguna fitur report;;
Jacky Mubarok Mubarok;5;16/10/2024 13.21;Oke;;
Gracella Florist;5;16/10/2024 13.21;Bagus good;;
Neneng NuryanCahya;4;16/10/2024 13.19;Kenapa ga bisa di update;;
Lanno Baghy;2;16/10/2024 13.19;Sangat menyenangkan bertemu dan kenal banyak orang;;
laili;2;16/10/2024 13.17;sehari update 2x,heran.baru seminggu di update,ada notif update lagi.apa maunya coba ? haaah ya sudahlah;;
Yusuf Suryaman;5;16/10/2024 13.16;terbaik dsn tersegalanya;;
Astri Ayuningsih Panjaitan;1;16/10/2024 13.14;Knp lelet kali tiap lihat story pdhl jaringan bagus;;
Mungkin Nanti;1;16/10/2024 13.11;Gara2 noaimi9;;
